series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
4181,Clannad: After Story,TV,24,0,24,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28223,Death Parade,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,24,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
223,Dragon Ball,TV,153,0,153,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
225,Dragon Ball GT,TV,64,0,64,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30694,Dragon Ball Super,TV,131,0,131,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36946,Dragon Ball Super: Broly,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
813,Dragon Ball Z,TV,291,0,291,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
226,Elfen Lied,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6702,Fairy Tail,TV,175,0,175,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22043,Fairy Tail (2014),TV,102,0,30,0000-00-00,0000-00-00,,2,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,4,0000-00-00,0000-00-00,,6,,0.00,Watching,,0,,LOW,,0,0,1,default,0
28977,Gintama°,TV,51,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
245,Great Teacher Onizuka,TV,43,0,3,0000-00-00,0000-00-00,,6,,0.00,Watching,,0,,LOW,,0,0,1,default,0
11617,High School DxD,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24703,High School DxD BorN,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34281,High School DxD Hero,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15451,High School DxD New,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42897,Horimiya,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34542,Inuyashiki,TV,11,0,11,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,TV,6,0,6,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40787,Josee to Tora to Sakana-tachi,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40748,Jujutsu Kaisen (TV),TV,24,0,24,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48561,Jujutsu Kaisen 0 Movie,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
7054,Kaichou wa Maid-sama!,TV,26,0,26,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36098,Kimi no Suizou wo Tabetai,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22535,Kiseijuu: Sei no Kakuritsu,TV,24,0,24,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28851,Koe no Katachi,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16782,Kotonoha no Niwa,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32182,Mob Psycho 100,TV,12,0,12,2020-05-18,2021-01-23,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37510,Mob Psycho 100 II,TV,13,0,13,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
164,Mononoke Hime,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
19,Monster,TV,74,0,35,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
21939,Mushishi Zoku Shou,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41168,Nakitai Watashi wa Neko wo Kaburu,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41345,Noblesse,TV,13,0,13,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32668,Noblesse: Awakening,ONA,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30276,One Punch Man,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
27775,Plastic Memories,TV,13,0,13,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30240,Prison School,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13601,Psycho-Pass,TV,22,0,22,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2476,School Days,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
23273,Shigatsu wa Kimi no Uso,TV,22,0,22,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16498,Shingeki no Kyojin,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25777,Shingeki no Kyojin Season 2,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35760,Shingeki no Kyojin Season 3,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,0,10,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40028,Shingeki no Kyojin: The Final Season,TV,16,0,16,0000-00-00,2021-05-26,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33036,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,Movie,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
21647,Tamako Love Story,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35790,Tate no Yuusha no Nariagari,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38826,Tenki no Ko,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4224,Toradora!,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34822,Tsuki ga Kirei,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37521,Vinland Saga,TV,24,0,24,0000-00-00,2022-07-26,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33352,Violet Evergarden,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37987,Violet Evergarden Movie,Movie,1,0,1,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37779,Yakusoku no Neverland,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31245,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
